"CQ":2,"I":1,"N":[4512,8924],"X":[1,2],"A":26,"U":50,"TG":0,"DX":[-1,-2],"TD":[6,1],"TA":[13,11],"L":13769,"FLG":0,
"CQ":6,"I":2,"L":13769,"P":[0,0],"T":[0,0],"R":[0,0],"W":[0,0],"S":0,"D":0,"F":0,"N":[0,10000],"X":[0,0],"U":80,
"CQ":7,"I":3,"FT":4,"FY":1000,"TG":200,"TABSX":[0,200],"TPOW":0,
@LP:3,200,(1,1),(10,10),(2,2),P:(8,8),(0,0),(0,0),(0,0),(32,32),T:(0,199),(0,0),(0,0),0,S:(-127,-127),(84,0),(0,0),
@LP:3,200,(2,1),(10,10),(4,2),P:(6,8),(0,0),(0,0),(0,0),(32,32),T:(0,198),(1,0),(2,2),-2,S:(0,-79),(163,0),(0,0),
@LP:3,200,(5,2),(10,10),(10,4),P:(0,6),(0,0),(0,0),(0,0),(32,32),T:(0,196),(3,1),(9,6),-9,S:(0,114),(162,0),(0,0),
@LP:3,200,(5,2),(10,10),(10,4),P:(0,6),(-1,1),(-1,7),(-1,7),(29,55),T:(0,195),(4,1),(15,6),-16,S:(0,56),(163,0),(0,6),
@LP:3,200,(6,8),(10,10),(12,16),P:(-2,-6),(-1,1),(-2,-12),(-4,2),(22,19),T:(-1,191),(8,3),(11,-4),-11,S:(0,29),(160,0),(-2,0),
@LP:3,200,(5,7),(10,10),(10,14),P:(0,-4),(0,0),(3,1),(-4,-2),(30,19),T:(-1,188),(11,3),(6,-4),-7,S:(1,17),(154,0),(-2,-4),
@LP:3,200,(5,5),(10,10),(10,10),P:(0,0),(0,0),(0,4),(-4,-2),(30,30),T:(-2,186),(14,2),(6,0),-7,S:(2,9),(153,0),(-2,-4),
@LP:3,200,(5,5),(10,10),(10,10),P:(0,0),(0,0),(0,0),(-4,-2),(30,30),T:(-2,183),(16,2),(6,0),-7,S:(2,6),(149,0),(-2,-4),
@LP:3,200,(5,5),(10,10),(10,10),P:(0,0),(0,0),(0,0),(-4,-2),(30,30),T:(-2,180),(19,2),(6,0),-7,S:(2,3),(148,0),(-2,-4),
@LP:3,200,(5,7),(10,10),(10,14),P:(0,-4),(0,0),(0,-4),(-4,-6),(30,17),T:(-2,177),(22,3),(2,-4),-3,S:(2,3),(144,144),(-2,-8),
@LP:3,200,(6,5),(10,10),(12,10),P:(-2,0),(0,0),(-2,4),(-6,-6),(24,27),T:(-3,174),(25,2),(4,2),-5,S:(2,2),(142,142),(-4,-8),
@LP:3,200,(4,4),(10,10),(8,8),P:(2,2),(0,0),(4,2),(-4,-4),(36,33),T:(-3,172),(27,2),(4,0),-5,S:(2,2),(140,140),(-2,-6),
@LP:3,200,(4,6),(10,10),(8,12),P:(2,-2),(0,0),(0,-4),(-2,-6),(36,21),T:(-3,170),(30,2),(0,-4),-1,S:(2,2),(138,138),(0,-8),
@LP:3,200,(6,4),(10,10),(12,8),P:(-2,2),(0,0),(-4,4),(-4,-4),(24,33),T:(-3,167),(32,2),(4,4),-5,S:(2,2),(135,135),(-2,-6),
@LP:3,200,(3,5),(10,10),(6,10),P:(4,0),(0,0),(6,-2),(0,-4),(42,28),T:(-3,165),(34,2),(0,-4),-1,S:(2,2),(133,133),(2,-6),
@LP:3,200,(5,5),(10,10),(10,10),P:(0,0),(0,0),(-4,0),(0,-4),(31,28),T:(-3,163),(37,2),(0,0),-1,S:(2,2),(130,130),(2,-6),
@LP:3,200,(5,4),(10,10),(10,8),P:(0,2),(0,0),(0,2),(0,-2),(31,34),T:(-3,160),(39,2),(2,2),-3,S:(2,2),(127,127),(2,-4),
@LP:3,200,(4,5),(10,10),(8,10),P:(2,0),(0,0),(2,-2),(2,-2),(37,29),T:(-3,158),(41,2),(0,-2),-1,S:(2,1),(126,126),(4,-4),
@LP:3,200,(5,5),(10,10),(10,10),P:(0,0),(0,0),(-2,0),(2,-2),(32,29),T:(-3,155),(44,2),(0,0),-1,S:(2,15),(96,96),(4,-4),
@LP:3,200,(5,4),(10,10),(10,8),P:(0,2),(0,0),(0,2),(2,0),(32,35),T:(-3,153),(46,2),(2,2),-3,S:(2,-108),(121,0),(4,-2),
